ID,FechaDelPedido,Año,Mes,Producto,PV,CV,CantidadVendida,CantidadNoVendida,TotalCV,IT,Perdidas
ID-3824,2024-03-22,2024,3,Galletas chocochips,10.0,3.34,32,0,106.8,320.0,
ID-3824,2024-03-29,2024,3,Galletas chocochips,10.0,3.34,64,0,213.6,640.0, 
ID-3826,2024-04-05,2024,4,Brownie triple chocolate,20.0,7.1,18,0,127.87,360.0,
ID-3827,2024-04-12,2024,4,Galletas danesas,7.0,2.62,35,0,91.82,245.0,
ID-3824,2024-04-17,2024,4,Galletas chocochips,10.0,3.34,64,0,213.6,640.0,
ID-3825,2024-04-19,2024,4,Mini cheesecake,20.0,7.61,16,0,121.75,320.0, 
ID-3826,2024-04-24,2024,4,Brownie triple chocolate,20.0,7.1,36,0,255.74,720.0, 
ID-3827,2024-04-26,2024,4,Galletas danesas,7.0,2.62,35,0,91.82,245.0, 
ID-3828,2024-05-01,2024,5,Muffins de yogurt,20.0,7.3,24,0,175.23,480.0, 
ID-3824,2024-05-03,2024,5,Galletas chocochips,10.0,3.34,30,2,100.13,300.0,20
ID-3825,2024-05-08,2024,5,Mini cheesecake,20.0,7.61,16,0,121.75,320.0, 
ID-3824,2024-05-10,2024,5,Galletas chocochips,10.0,3.34,32,0,106.8,320.0, 
ID-3826,2024-05-15,2024,5,Brownie triple chocolate,20.0,7.1,18,0,127.87,360.0, 
ID-3828,2024-05-17,2024,5,Muffins de yogurt,20.0,7.3,24,0,175.23,480.0, 
ID-3828,2024-05-22,2024,5,Muffins de yogurt,20.0,7.3,12,0,87.61,240.0, 
ID-3824,2024-05-24,2024,5,Galletas chocochips,10.0,3.34,29,3,96.79,290.0,30
ID-3825,2024-05-29,2024,5,Mini cheesecake,20.0,7.61,14,2,106.53,280.0,40
ID-3827,2024-05-31,2024,5,Galletas danesas,7.0,2.62,35,0,91.82,245.0, 
ID-3827,2024-06-05,2024,6,Galletas danesas,7.0,2.62,34,1,89.2,238.0,7
ID-3826,2024-06-07,2024,6,Brownie triple chocolate,20.0,7.1,18,0,127.87,360.0, 
ID-3828,2024-06-12,2024,6,Muffins de yogurt,20.0,7.3,24,0,175.23,480.0, 
ID-3824,2024-06-14,2024,6,Galletas chocochips,10.0,3.34,32,0,106.8,320.0, 
ID-3826,2024-06-19,2024,6,Brownie triple chocolate,20.0,7.1,36,0,255.74,720.0, 
ID-3829,2024-06-21,2024,6,Besos de nuez,7.0,2.99,50,0,149.49,350.0, 
ID-3828,2024-06-26,2024,6,Muffins de yogurt,20.0,7.3,24,0,175.23,480.0, 
ID-3826,2024-06-28,2024,6,Brownie triple chocolate,20.0,7.1,15,3,106.56,300.0,60
ID-3827,2024-07-03,2024,7,Galletas danesas,7.0,2.62,29,6,76.08,203.0,42
ID-3825,2024-07-05,2024,7,Mini cheesecake,20.0,7.61,16,0,121.75,320.0, 
ID-3824,2024-07-10,2024,7,Galletas chocochips,10.0,3.34,32,0,106.8,320.0, 
ID-3829,2024-07-12,2024,7,Besos de nuez,7.0,2.99,45,5,134.54,315.0,35
ID-3828,2024-07-17,2024,7,Muffins de yogurt,20.0,7.3,24,0,175.23,480.0, 
ID-3826,2024-07-19,2024,7,Brownie triple chocolate,20.0,7.1,16,2,113.66,320.0,40
ID-3830,2024-07-24,2024,7,Flan de queso crema,25.0,10.94,18,0,196.86,450.0, 
ID-3827,2024-07-26,2024,7,Galletas danesas,7.0,2.62,30,5,78.7,210.0,35
ID-3825,2024-07-31,2024,7,Mini cheesecake,20.0,7.61,16,0,121.75,320.0, 
ID-3829,2024-08-02,2024,8,Besos de nuez,7.0,2.99,50,0,149.49,350.0, 
ID-3824,2024-08-07,2024,8,Galletas chocochips,10.0,3.34,32,0,106.8,320.0, 
ID-3828,2024-08-09,2024,8,Muffins de yogurt,20.0,7.3,24,0,175.23,480.0, 
ID-3826,2024-08-14,2024,8,Brownie triple chocolate,20.0,7.1,18,0,127.87,360.0, 
ID-3830,2024-08-16,2024,8,Flan de queso crema,25.0,10.94,16,2,174.99,400.0,50
ID-3825,2024-08-21,2024,8,Mini cheesecake,20.0,7.61,16,0,121.75,320.0, 
ID-3828,2024-08-23,2024,8,Muffins de yogurt,20.0,7.3,24,0,175.23,480.0, 
