Bloque_Analisis,Producto,UB_Producto,Porcentaje_Acumulado,Clasificacion_Pareto
2024,Muffins de yogurt,3962.03,22.81,Categoría A (80% Principal)
2024,Galletas chocochips,3764.3,44.48,Categoría A (80% Principal)
2024,Brownie triple chocolate,3185.34,62.82,Categoría A (80% Principal)
2024,Mini cheesecake,1920.55,73.88,Categoría A (80% Principal)
2024,Besos de nuez,1539.92,82.74,Categoría B (15% Intermedio)
2024,Galletas danesas,1286.72,90.15,Categoría B (15% Intermedio)
2024,Flan de queso crema,1167.25,96.87,Categoría C (5% Baja Utilidad)
2024,Muffin de chocolate,543.69,100.0,Categoría C (5% Baja Utilidad)
2025,Muffins de yogurt,4702.39,29.2,Categoría A (80% Principal)
2025,Galletas chocochips,3432.45,50.51,Categoría A (80% Principal)
2025,Mini cheesecake,2048.24,63.23,Categoría A (80% Principal)
2025,Brownie triple chocolate,1920.2,75.15,Categoría A (80% Principal)
2025,Galletas danesas,1652.49,85.41,Categoría B (15% Intermedio)
2025,Muffin de chocolate,1610.63,95.42,Categoría C (5% Baja Utilidad)
2025,Besos de nuez,431.13,98.09,Categoría C (5% Baja Utilidad)
2025,Flan de queso crema,307.14,100.0,Categoría C (5% Baja Utilidad)
Todos,Muffins de yogurt,8664.42,25.88,Categoría A (80% Principal)
Todos,Galletas chocochips,7196.75,47.38,Categoría A (80% Principal)
Todos,Brownie triple chocolate,5105.54,62.63,Categoría A (80% Principal)
Todos,Mini cheesecake,3968.79,74.49,Categoría A (80% Principal)
Todos,Galletas danesas,2939.21,83.27,Categoría B (15% Intermedio)
Todos,Muffin de chocolate,2154.32,89.71,Categoría B (15% Intermedio)
Todos,Besos de nuez,1971.05,95.6,Categoría C (5% Baja Utilidad)
Todos,Flan de queso crema,1474.39,100.0,Categoría C (5% Baja Utilidad)
